Region,Zone,Woreda,Education,ESNFI,Health,Agriculture,Nutrition,Protection,WASH
Tigray,Eastern,Adigrat town,EOTC-DICAC,ECC-SADCO,"FHI 360, IOM, SCI",,," Alight, ASDEPO, CRS, ECC-SADCO, EECMY-DASSC, FHI 360, Imagine 1 Day ",
Oromia,West Guji,Dugda Dawa,,,,,, MC ,
Tigray,Central,Abi Adi town,Imagine 1 Day,DEC,"ACF, WV",, ACF ," ACF, Alight, EECMY-DASSC, Imagine 1 Day ",PIN
Tigray,North Western,Asgede,IRC,IOM,PI,,," CVT, IMC, IRC, PI ","DRC, PI"
Tigray,North Western,Sheraro town,"Imagine 1 Day, IRC, NRC","IRC, Nexus, NRC",,,," CVT, EECMY-DASSC, Imagine 1 Day, IMC, IRC ","ASDEPO, DRC"
Oromia,East Hararge,Chinaksen,,,IMC,FAO,,,
Tigray,North Western,Endabaguna town,,NRC,,,, IRC ,IOM
Oromia,East Wellega,Gida Ayana,,,,,, WU ,FIDO
Oromia,Borena,Moyale (OR),,IOM,IOM,," ACF, CARE "," ACF, Imagine 1 Day ","ACF, DPO"
Tigray,Central,Adwa town,SCI,,"FHI 360, Nexus, PI, SCI",,," EECMY-DASSC, Imagine 1 Day, MdM, PI ",IOM
Oromia,West Guji,Gelana (West Guji),,ECC-SADCO,,,,,
Oromia,East Wellega,Nekemte town,,,,,, WU ,
Sidama,Sidama,Bilate Zuria,,,,,,,"RHB, RWB"
Tigray,Central,Adet,Imagine 1 Day,,SCI,, SCI , Imagine 1 Day ,"DRC, SCI"
Tigray,South Eastern,Enderta,,,PI,"EECMY-DASSC, GOAL",," EECMY-DASSC, GOAL, PI ",
Oromia,East Hararge,Golo Oda,,,,FAO,,,
Somali,Daawa,Moyale (SM),,,,ASDEPO,,,"IOM, NCA"
Tigray,Southern,Mekhoni town,Imagine 1 Day,,FHI 360,,," DoC, Imagine 1 Day ",
Tigray,Central,Kola Temben,Imagine 1 Day,,,, ACF , ACF ,
Tigray,Central,Kola Tembien,,,,,, Imagine 1 Day ,
Tigray,North Western,Zana,,,,,,,WV
Tigray,Southern,Maichew town,,NRC,FHI 360,, FHI 360 ," DoC, EECMY-DASSC, FHI 360, Imagine 1 Day ",
Tigray,Central,Axum town,,,"FHI 360, PI, SCI",," PI, SCI "," CVT, EECMY-DASSC, FHI 360, Imagine 1 Day, PI ",PI
Oromia,East Hararge,Fedis,,,IMC,FAO,,,RWB
Tigray,Central,Endaba Tsahma,EOTC-DICAC,,,FAO,,,
Tigray,Eastern,Gulo Mekeda,,"CARE, ECC-SADCO, IOM",MCMDO,PI, CARE ,,CARE
Oromia,West Guji,Bule Hora,,,,,, MC ,RHB
Benishangul-Gumuz,Metekel,Dangur,"Imagine 1 Day, PI",,,,," Imagine 1 Day, PI ",
Tigray,South Eastern,Hintalo,PI,,,"FAO, GOAL",," EECMY-DASSC, GOAL, PI, WV ",WV
Gambela,Nuwer,Lare,GEDI,,,,,,
Tigray,North Western,Adi Daero,,ECC-SADCO,PI,,, PI ,"DRC, PI"
Tigray,Southern,Raya Azebo,,,FHI 360,," CARE, FHI 360 "," DoC, Imagine 1 Day ",
Tigray,Eastern,Hawzen,,,,ZOA, CARE , WV ,CARE
Oromia,West Guji,Melka Soda,,,,,, MC ,
Tigray,Central,Adwa,"EOTC-DICAC, SCI",,"MdM, SCI",,," IMC, MdM ","PI, SCI"
Oromia,East Wellega,Sibu Sire,DEC,,FIDO,, FIDO , WU ,
Somali,Daawa,Hudet,,,,FAO,,,
Tigray,Central,Endafelasi,,,,,,,ACF
Tigray,Eastern,Bizet,,,"FHI 360, PI",, PI ,,
Tigray,Central,Laelay Maychew,EOTC-DICAC,,,,,,
Tigray,Central,Emba Sieneti,SCI,ECC-SADCO,,, SCI ,,SCI
Tigray,Central,Aheferom,,,FHI 360,, FHI 360 ,,
Tigray,Central,Naeder,Imagine 1 Day,,,, SCI ,,DRC
Oromia,North Shewa (OR),Kuyu,,,,,, FIDO ,
Tigray,Central,Chila,,,PI,,, PI ,"DRC, PI"
Oromia,East Hararge,Jarso (East Hararghe),,,CARE,,,,
Tigray,North Western,Tahtay Adiyabo,,DPO,PI,, IMC , PI ,PI
Tigray,Central,Hahayle,,,,, SCI ,,SCI
Oromia,West Shewa,Adda Berga,,,,,, FIDO ,CRS
Tigray,South Eastern,Samre,"EECMY-DASSC, PI",,,FAO, SOS CV ," EECMY-DASSC, NCA, PI ",
Oromia,East Hararge,Gursum (OR),DEC,,CARE,FAO,,,"CRS, RWB"
Tigray,South Eastern,Degua Temben,,,,FAO,,,
Oromia,East Hararge,Babile (OR),Imagine 1 Day,,,FAO,, Imagine 1 Day ,RHB
Somali,Daawa,Qada Duma,,,,"PIADO, VSF-S", PIADO ,,
Tigray,Central,Keyhe tekli,Imagine 1 Day,,,, ACF ," ACF, Imagine 1 Day ",ACF
Oromia,Horo Gudru Wellega,Horo Buluk,,,,FAO,,,
Oromia,West Guji,Abaya,,,,, GOAL ,,"GOAL, RHB"
Tigray,Eastern,Edaga Hamus town,EOTC-DICAC,,,,,,
Tigray,Eastern,Tsaeda Emba,EOTC-DICAC,,,,, EPSSolution ,ZOA
Tigray,North Western,Laelay Koraro,,,,, MTI ,,WV
Tigray,North Western,Selekleka,,,,,," Alight, CVT ","DRC, WV"
Tigray,North Western,Seyemti Adyabo,,ECC-SADCO,,," IMC, MTI, PI ",,
Oromia,East Hararge,Deder,,,,,,,"IOM, WV"
Tigray,Central,Tahtay Maychew,EOTC-DICAC,,,, SCI , EPSSolution ,
Amhara,North Shewa (AM),Debre Berhan town,"DEC, EDA",CoC,GOAL,, GOAL ," Alight, AWA, Imagine 1 Day ",PI
Tigray,Central,Rama,,,,, FHI 360 ,,
Tigray,Central,Rama Adi Arbaete,,,FHI 360,, FHI 360 ,,
Tigray,Central,Egela,,,FHI 360,, FHI 360 ,,
Oromia,East Wellega,Gobu Seyo,,,,,, WU ,
Tigray,South Eastern,Wajirat,,,,FAO,, PI ,
Tigray,Eastern,Agulae,,,,"EECMY-DASSC, FAO",,,ZOA
Benishangul-Gumuz,Metekel,Pawe,,UCD,,,,,
Tigray,Eastern,Ganta Afeshum,,,"PI, SCI","PI, SCI, ZOA",,,"CARE, ZOA"
Tigray,Central,Tanqua Melashe,Imagine 1 Day,,,, ACF ," ACF, FHE, Imagine 1 Day ",
Tigray,Southern,Endamehoni,TDA,,,EECMY-DASSC,, DoC ,
Oromia,East Wellega,Wayu Tuka,Imagine 1 Day,,,,,,RWB
Tigray,Southern,Emba Alaje,,,FHI 360,," CARE, FHI 360 "," DoC, FHI 360 ",
Sidama,Sidama,Hawassa Zuria,,,,FAO,,,RHB
Oromia,West Wellega,Leta Sibu,,,ACF,, ACF ,,ACF
Tigray,North Western,Tahtay Koraro,IRC,,,,,,
Tigray,Eastern,Hawzen town,,,FHI 360,ZOA, CARE , WV ,ZOA
Tigray,Central,Abergele (TG),,,ACF,, ACF ," ACF, FHE, WV ","ACF, IOM"
Oromia,West Shewa,Illu Galan,,,,,, FIDO ,CRS
Tigray,Eastern,Saesie,,,,ZOA,,,
Tigray,Eastern,Sebuha Saesie,,,,SCI,,,
Tigray,North Western,Maekel Adiyabo,,DPO,,, MTI ,,
Tigray,Eastern,Kelete Awelallo,,,,FAO,, EPSSolution ,
Tigray,Eastern,Kilte Awulaelo,,,FHI 360,,,,
Benishangul-Gumuz,Assosa,Bilidigilu,,,,,,,ACF
Oromia,East Hararge,Midhaga Tola,,,IMC,FAO,,,
Oromia,East Hararge,Melka Balo,,,,,, WV ,
Afar,Kilbati /Zone2,Kunneba,,,MCMDO,,," FHI 360, WV ",WV
Tigray,Southern,Selewa,,,"FHI 360, Humedica e.V",,,,
Tigray,Central,Ahsea,,,MdM,,, MdM ,
Tigray,South Eastern,Hagere Selam town,,,,,, GOAL ,
Tigray,South Eastern,Saharti,Imagine 1 Day,,,EECMY-DASSC,,,
Benishangul-Gumuz,Metekel,Mandura,Imagine 1 Day,,,,," Imagine 1 Day, NRC, PI ",
Somali,Afder,Dolobay,,,"HPA, IRC","FAO, VSF-S", SCI ,,"DRC, WV"
Tigray,Southern,Bora (TG),,,FHI 360,, FHI 360 , FHI 360 ,
Tigray,Eastern,Atsbi town,,,,,, ECC-SADCO ,
Tigray,Eastern,Atsbi,,,,,,,CARE
Oromia,West Wellega,Gimbi,Imagine 1 Day,,ACF,, ACF ," ACF, WU ","ACF, RWB"
Oromia,East Hararge,Meta,,,,,,,IOM
Oromia,West Guji,Birbirsa Kojowa,Imagine 1 Day,,,,, Imagine 1 Day ,
Oromia,East Hararge,Haro Maya,DEC,,,,,,
Amhara,North Wello,Woldiya town,,,,,, FHI 360 ,
Oromia,West Wellega,Lalo Asabi,Imagine 1 Day,,,,,,
Oromia,West Hararge,Mieso,,,"IMC, SCI",,,,
Oromia,Borena,Miyo,,,VSF-S,," ACF, CARE ", ACF ,
Oromia,Borena,Dire,,,CARE,," ACF, CARE "," ACF, CARE ",CARE
Amhara,South Wello,Worebabu,,,,,, ELiDA ,ANE
Oromia,East Hararge,Goro Gutu,,,,FAO,,,IOM
Tigray,Eastern,Geraleta,Imagine 1 Day,,,,,,
Oromia,East Hararge,Goro Muti,,,,,, WV ,WV
Oromia,Borena,Dilo,,,CARE,," CARE, GOAL ",,
Tigray,Southern,Neqsege,,,FHI 360,EECMY-DASSC, FHI 360 ,,
Amhara,South Wello,Ambasel,,,,ZOA,, ELiDA ,"WV, ZOA"
Amhara,North Wello,Lalibela town,Imagine 1 Day,,,,, Imagine 1 Day ,
Oromia,East Hararge,Kersa (East Hararge),,,,FAO,,,"IOM, RHB"
Oromia,East Hararge,Girawa,,,,, ACF ,,ACF
Oromia,East Wellega,Leka Dulecha,Imagine 1 Day,,,,,,
Oromia,East Hararge,Bedeno,,,,, ACF ,,ACF
Oromia,West Hararge,Gumbi Bordede,,,IMC,,,,
Benishangul-Gumuz,Assosa,Bambasi,,,,,, PI ,"ACF, ERCS"
Oromia,East Bale,Ginir,,,,FAO,,,
Sidama,Sidama,Boricha,,,,,,,RHB
Amhara,South Wello,Kalu,,,,, GOAL ,,
Oromia,East Bale,Lege Hida,Imagine 1 Day,,,FAO, SCI ,,
Gambela,Agnewak,Gambela Zuria,,,,ZOA,,,PI
Oromia,West Hararge,Hawi Gudina,,,IMC,,,,
Oromia,East Bale,Rayitu,Imagine 1 Day,,,, SCI , Imagine 1 Day ,
Oromia,East Wellega,Sasiga,DEC,,,,,,
Oromia,West Hararge,Doba,,,,FAO,,,
Somali,Nogob,Sagag,,,,, OWDA ,,
South West Ethiopia,Konta,Konta Koysha,,,,,,,RWB
Oromia,East Hararge,Kurfa Chele,,,,,,,RWB
Oromia,East Bale,Seweyna,Imagine 1 Day,,MCMDO,FAO, SCI , Imagine 1 Day ,
Oromia,East Hararge,Meyu Muleke,,,,FAO,,,CARE
